ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
AMZN,1997-10-31,64.25,65.5,59.63,61.0,418900.0,0.0,1.0,5.354166666666666,5.458333333333333,4.969166666666666,5.083333333333333,5026800.0
AMZN,1997-11-03,61.38,62.63,59.38,60.88,166600.0,0.0,1.0,5.115,5.219166666666666,4.948333333333333,5.073333333333333,1999200.0
AMZN,1997-11-04,59.0,60.63,57.88,59.5,197100.0,0.0,1.0,4.916666666666666,5.0525,4.823333333333333,4.958333333333333,2365200.0
AMZN,1997-11-05,59.75,61.5,58.5,58.5,257800.0,0.0,1.0,4.979166666666666,5.125,4.875,4.875,3093600.0
AMZN,1997-11-06,59.0,59.0,55.63,55.94,242800.0,0.0,1.0,4.916666666666666,4.916666666666666,4.635833333333333,4.661666666666666,2913600.0
AMZN,1997-11-07,53.0,55.69,52.63,53.75,218900.0,0.0,1.0,4.416666666666666,4.640833333333333,4.385833333333333,4.479166666666666,2626800.0
AMZN,1997-11-10,54.0,54.75,50.5,50.5,230400.0,0.0,1.0,4.5,4.5625,4.208333333333333,4.208333333333333,2764800.0
AMZN,1997-11-11,50.94,51.75,47.0,47.38,359400.0,0.0,1.0,4.244999999999999,4.3125,3.9166666666666665,3.9483333333333333,4312800.0
AMZN,1997-11-12,45.31,50.25,44.0,45.25,723600.0,0.0,1.0,3.7758333333333334,4.1875,3.6666666666666665,3.770833333333333,8683200.0
AMZN,1997-11-13,47.38,47.63,45.25,46.31,357500.0,0.0,1.0,3.9483333333333333,3.9691666666666667,3.770833333333333,3.859166666666667,4290000.0
AMZN,1997-11-14,47.25,50.5,45.38,50.0,489100.0,0.0,1.0,3.9375,4.208333333333333,3.7816666666666667,4.166666666666666,5869200.0
AMZN,1997-11-17,50.75,54.5,50.63,52.5,616200.0,0.0,1.0,4.229166666666666,4.541666666666666,4.219166666666666,4.375,7394400.0
AMZN,1997-11-18,52.5,53.75,52.13,53.0,155500.0,0.0,1.0,4.375,4.479166666666666,4.344166666666666,4.416666666666666,1866000.0
AMZN,1997-11-19,52.88,54.25,51.75,54.13,211200.0,0.0,1.0,4.406666666666666,4.520833333333333,4.3125,4.510833333333333,2534400.0
AMZN,1997-11-20,54.88,55.25,54.13,55.0,493600.0,0.0,1.0,4.573333333333333,4.604166666666666,4.510833333333333,4.583333333333333,5923200.0
AMZN,1997-11-21,54.63,55.0,53.88,53.88,216900.0,0.0,1.0,4.5525,4.583333333333333,4.49,4.49,2602800.0
AMZN,1997-11-24,52.5,52.88,50.75,50.75,168300.0,0.0,1.0,4.375,4.406666666666666,4.229166666666666,4.229166666666666,2019600.0
AMZN,1997-11-25,50.88,52.0,48.5,50.44,275400.0,0.0,1.0,4.24,4.333333333333333,4.041666666666666,4.203333333333333,3304800.0
AMZN,1997-11-26,50.88,52.94,50.88,51.13,135900.0,0.0,1.0,4.24,4.411666666666666,4.24,4.260833333333333,1630800.0
AMZN,1997-11-28,51.25,52.0,49.38,49.5,133600.0,0.0,1.0,4.270833333333333,4.333333333333333,4.115,4.125,1603200.0
AMZN,1997-12-01,50.88,52.5,49.63,51.25,198600.0,0.0,1.0,4.24,4.375,4.135833333333333,4.270833333333333,2383200.0
AMZN,1997-12-02,51.13,51.63,50.13,50.81,105200.0,0.0,1.0,4.260833333333333,4.3025,4.1775,4.234166666666667,1262400.0
AMZN,1997-12-03,50.38,52.5,50.25,52.38,107500.0,0.0,1.0,4.198333333333333,4.375,4.1875,4.365,1290000.0
AMZN,1997-12-04,52.81,54.63,52.63,54.0,253200.0,0.0,1.0,4.400833333333333,4.5525,4.385833333333333,4.5,3038400.0
AMZN,1997-12-05,53.25,55.13,52.25,55.13,221800.0,0.0,1.0,4.4375,4.594166666666666,4.354166666666666,4.594166666666666,2661600.0
AMZN,1997-12-08,54.5,57.25,54.25,56.5,397200.0,0.0,1.0,4.541666666666666,4.770833333333333,4.520833333333333,4.708333333333333,4766400.0
AMZN,1997-12-09,56.0,57.25,55.25,56.25,111000.0,0.0,1.0,4.666666666666666,4.770833333333333,4.604166666666666,4.6875,1332000.0
AMZN,1997-12-10,55.0,55.5,52.75,54.13,120400.0,0.0,1.0,4.583333333333333,4.625,4.395833333333333,4.510833333333333,1444800.0
AMZN,1997-12-11,52.75,58.0,52.75,56.25,417900.0,0.0,1.0,4.395833333333333,4.833333333333333,4.395833333333333,4.6875,5014800.0
AMZN,1997-12-12,55.75,57.63,52.88,54.5,222700.0,0.0,1.0,4.645833333333333,4.8025,4.406666666666666,4.541666666666666,2672400.0
AMZN,1997-12-15,55.0,56.0,52.88,55.0,141200.0,0.0,1.0,4.583333333333333,4.666666666666666,4.406666666666666,4.583333333333333,1694400.0
AMZN,1997-12-16,55.75,55.75,53.5,53.5,140600.0,0.0,1.0,4.645833333333333,4.645833333333333,4.458333333333333,4.458333333333333,1687200.0
AMZN,1997-12-17,52.5,53.5,51.06,52.69,511700.0,0.0,1.0,4.375,4.458333333333333,4.255,4.390833333333333,6140400.0
AMZN,1997-12-18,52.25,53.13,50.75,51.5,267000.0,0.0,1.0,4.354166666666666,4.4275,4.229166666666666,4.291666666666666,3204000.0
AMZN,1997-12-19,50.75,54.25,50.0,54.0,396100.0,0.0,1.0,4.229166666666666,4.520833333333333,4.166666666666666,4.5,4753200.0
AMZN,1997-12-22,54.0,57.38,53.19,56.38,362700.0,0.0,1.0,4.5,4.781666666666666,4.432499999999999,4.698333333333333,4352400.0
AMZN,1997-12-23,56.25,56.88,55.5,55.5,98100.0,0.0,1.0,4.6875,4.74,4.625,4.625,1177200.0
AMZN,1997-12-24,55.5,56.5,53.63,55.25,194700.0,0.0,1.0,4.625,4.708333333333333,4.469166666666666,4.604166666666666,2336400.0
AMZN,1997-12-26,54.75,55.75,53.88,54.25,40600.0,0.0,1.0,4.5625,4.645833333333333,4.49,4.520833333333333,487200.0
AMZN,1997-12-29,55.0,57.38,54.38,57.0,212700.0,0.0,1.0,4.583333333333333,4.781666666666666,4.531666666666666,4.75,2552400.0
AMZN,1997-12-30,58.0,58.88,57.38,58.19,523800.0,0.0,1.0,4.833333333333333,4.906666666666666,4.781666666666666,4.849166666666666,6285600.0
